,parcelid,bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,taxamount,assessmentyear,regionidcounty,regionidzip,transactiondate
0,11721753,3.0,2.0,1316.0,205123.0,2627.48,2016.0,3101.0,95997.0,2017-07-21
1,11289917,3.0,2.0,1458.0,136104.0,2319.9,2016.0,3101.0,97318.0,2017-06-23
2,11705026,2.0,1.0,1421.0,35606.0,543.69,2016.0,3101.0,96018.0,2017-06-30
3,14269464,4.0,3.0,2541.0,880456.0,9819.72,2016.0,1286.0,96958.0,2017-06-01
4,11446756,3.0,2.0,1491.0,107110.0,1399.27,2016.0,3101.0,96162.0,2017-08-23
5,11389003,3.0,2.0,1650.0,614000.0,7673.19,2016.0,3101.0,96037.0,2017-06-01
6,11967869,2.0,1.0,693.0,274237.0,3267.47,2016.0,3101.0,96023.0,2017-06-29
7,11429175,4.0,2.0,1655.0,164269.0,2169.62,2016.0,3101.0,96106.0,2017-08-23
8,11696784,0.0,0.0,1378.0,168828.0,2135.39,2016.0,3101.0,96024.0,2017-06-16
9,11921077,3.0,2.0,1331.0,224906.0,4086.17,2016.0,3101.0,96514.0,2017-07-18
10,11391972,3.0,2.0,1440.0,286062.0,6093.88,2016.0,3101.0,96024.0,2017-07-20
11,11743374,4.0,1.0,2427.0,519963.0,6444.87,2016.0,3101.0,96000.0,2017-07-14
12,12870253,3.0,2.0,1346.0,465102.0,5627.16,2016.0,3101.0,96469.0,2017-07-27
13,11460552,3.0,2.0,1280.0,899750.0,10783.39,2016.0,3101.0,96026.0,2017-08-29
14,14236060,3.0,2.0,1668.0,196483.0,2376.34,2016.0,1286.0,97064.0,2017-05-19
15,14365030,3.0,2.5,1653.0,605000.0,6185.28,2016.0,1286.0,96989.0,2017-05-01
16,14008322,3.0,1.0,879.0,141875.0,2015.78,2016.0,1286.0,97048.0,2017-05-18
17,11552513,3.0,2.0,1108.0,486866.0,5990.5,2016.0,3101.0,96047.0,2017-05-17
18,12535098,3.0,2.0,1947.0,388478.0,4784.07,2016.0,3101.0,96246.0,2017-05-11
19,12443331,3.0,1.0,1004.0,272154.0,3307.31,2016.0,3101.0,96208.0,2017-08-21
20,12955531,4.0,3.0,3416.0,344328.0,4136.13,2016.0,3101.0,96524.0,2017-07-11
21,11391577,2.0,1.0,1061.0,31839.0,412.48,2016.0,3101.0,96024.0,2017-06-02
22,13880422,3.0,2.0,1306.0,203480.0,2543.86,2016.0,1286.0,97021.0,2017-07-13
23,12814323,3.0,2.0,1632.0,499402.0,5921.67,2016.0,3101.0,96489.0,2017-06-29
24,10976131,3.0,3.0,2768.0,151340.0,2373.63,2016.0,3101.0,96366.0,2017-05-31
25,12057023,3.0,3.0,2392.0,845708.0,9310.38,2016.0,3101.0,96321.0,2017-06-30
26,11187927,3.0,2.0,1088.0,130679.0,2228.31,2016.0,3101.0,97329.0,2017-06-14
27,11451345,3.0,2.0,1157.0,85692.0,1147.37,2016.0,3101.0,96162.0,2017-08-25
28,10984661,3.0,2.0,1386.0,52560.0,777.51,2016.0,3101.0,96361.0,2017-07-31
29,12196319,2.0,1.0,728.0,75227.0,1471.8,2016.0,3101.0,95982.0,2017-08-01
30,11367981,3.0,2.0,1191.0,164685.0,2169.02,2016.0,3101.0,97318.0,2017-05-22
31,11312124,3.0,2.0,1358.0,168626.0,3107.95,2016.0,3101.0,97318.0,2017-06-01
32,12035592,5.0,3.0,4048.0,2673077.0,32411.31,2016.0,3101.0,96008.0,2017-08-22
33,13071085,4.0,3.0,2291.0,397616.0,5284.09,2016.0,3101.0,96506.0,2017-06-09
34,10732347,4.0,2.0,2115.0,115306.0,1613.84,2016.0,3101.0,96389.0,2017-07-25
35,10722858,4.0,2.0,1570.0,373282.0,4619.79,2016.0,3101.0,96342.0,2017-07-28
36,12114701,2.0,1.0,918.0,374368.0,4406.57,2016.0,3101.0,96294.0,2017-08-25
37,13083743,3.0,2.0,1050.0,259334.0,3345.78,2016.0,3101.0,96488.0,2017-05-25
38,17086759,3.0,2.0,1373.0,62048.0,703.0,2016.0,2061.0,97083.0,2017-07-13
39,13921492,4.0,2.0,1485.0,63338.0,974.9,2016.0,1286.0,97024.0,2017-06-30
